JUnit version 4.12
.Test started at Thu Oct 27 13:18:30 UTC 2016
Insertions: 17,179,869,184 (approx: 131,072 GiB)
Thread count: 1
Maximum FPSet table count is: 34,359,738,368 (approx: 262,144 GiB)
FPSet lock count is: 256
FPSet bucket count is: 2147483639
Testing tlc2.tool.fp.MSBDiskFPSet
1477584816340 s; 82,994,358 insertions/min; 0.41 load factor
1477584876340 s; 89,867,394 insertions/min; 0.42 load factor
1477584936340 s; 81,875,942 insertions/min; 0.42 load factor
1477584996340 s; 89,327,033 insertions/min; 0.42 load factor
1477585056340 s; 87,559,539 insertions/min; 0.42 load factor
1477585116340 s; 81,095,286 insertions/min; 0.43 load factor
1477585176340 s; 87,808,155 insertions/min; 0.43 load factor
1477585236340 s; 79,598,484 insertions/min; 0.43 load factor
1477585296340 s; 87,429,345 insertions/min; 0.43 load factor
1477585356340 s; 86,462,228 insertions/min; 0.44 load factor
1477585416340 s; 79,061,110 insertions/min; 0.44 load factor
1477585476340 s; 87,151,332 insertions/min; 0.44 load factor
1477585536341 s; 79,453,497 insertions/min; 0.44 load factor
1477585656340 s; 344,423,407 insertions/min; 0.45 load factor
1477585716340 s; 78,278,503 insertions/min; 0.45 load factor
1477585776340 s; 85,002,893 insertions/min; 0.45 load factor
1477585836341 s; 84,070,435 insertions/min; 0.46 load factor
1477585956340 s; 318,359,178 insertions/min; 0.46 load factor
1477586016341 s; 82,765,286 insertions/min; 0.46 load factor
1477586136341 s; 314,497,828 insertions/min; 0.47 load factor
1477586196341 s; 81,686,660 insertions/min; 0.47 load factor
1477586316340 s; 311,419,710 insertions/min; 0.47 load factor
1477586376340 s; 80,805,130 insertions/min; 0.48 load factor
1477586436341 s; 72,469,245 insertions/min; 0.48 load factor
1477586496341 s; 81,304,059 insertions/min; 0.48 load factor
1477586616341 s; 303,722,982 insertions/min; 0.49 load factor
1477586736341 s; 323,154,302 insertions/min; 0.49 load factor
1477589540897 s; 1,045,507,579 insertions/min; 0.49 load factor
1477589616341 s; 125,079,358 insertions/min; 0.49 load factor
1477589736341 s; 306,425,476 insertions/min; 0.5 load factor
Total puts: 17179869184, total collisions: 0, total load factor: 0.5, duration: 15464179 ms.
1477589780524 s; 66,600,000 insertions/min; 0.5 load factor
Test finished at Thu Oct 27 17:36:20 UTC 2016
