JUnit version 4.12
.Test started at Wed Oct 26 05:03:45 UTC 2016
Insertions: 51,539,607,552 (approx: 393,216 GiB)
Thread count: 2
Maximum FPSet table count is: 68,719,476,736 (approx: 524,288 GiB)
FPSet lock count is: 0
FPSet bucket count is: 68719476736
Testing tlc2.tool.fp.OffHeapDiskFPSet
1477465579481 s; 0 insertions/min; 0.59 load factor
1477465639481 s; 0 insertions/min; 0.59 load factor
1477465699482 s; 0 insertions/min; 0.59 load factor
1477465819481 s; 0 insertions/min; 0.59 load factor
1477465879481 s; 0 insertions/min; 0.59 load factor
1477465939481 s; 0 insertions/min; 0.59 load factor
1477465999481 s; 0 insertions/min; 0.59 load factor
1477466059481 s; 0 insertions/min; 0.59 load factor
1477466119482 s; 0 insertions/min; 0.59 load factor
1477466239481 s; 0 insertions/min; 0.59 load factor
1477466299481 s; 0 insertions/min; 0.59 load factor
1477466359481 s; 0 insertions/min; 0.59 load factor
1477466419481 s; 0 insertions/min; 0.59 load factor
1477466479482 s; 0 insertions/min; 0.59 load factor
Running test: FingerPrintGenerator
page_defrag = always madvise [never]
scaling_governor = powersave
kernel.numa_balancing = 1
