JUnit version 4.12
.Test started at Mon Oct 24 19:50:06 UTC 2016
Insertions: 34,359,738,368 (approx: 262,144 GiB)
Thread count: 1
Maximum FPSet table count is: 137,438,953,472 (approx: 1,048,576 GiB)
FPSet lock count is: 0
FPSet bucket count is: 137438953472
Testing tlc2.tool.fp.OffHeapDiskFPSet
1477347297978 s; 146,046,269 insertions/min; 0.14 load factor
1477347357978 s; 145,774,585 insertions/min; 0.14 load factor
1477347417978 s; 146,214,609 insertions/min; 0.14 load factor
1477347477978 s; 146,168,435 insertions/min; 0.15 load factor
1477347537978 s; 146,067,963 insertions/min; 0.15 load factor
1477347597978 s; 145,948,869 insertions/min; 0.15 load factor
1477347657978 s; 146,065,122 insertions/min; 0.15 load factor
1477347717978 s; 146,103,032 insertions/min; 0.15 load factor
1477347777978 s; 146,103,353 insertions/min; 0.15 load factor
1477347837978 s; 145,753,761 insertions/min; 0.15 load factor
1477347897978 s; 146,139,476 insertions/min; 0.15 load factor
1477347957978 s; 146,653,620 insertions/min; 0.15 load factor
1477348017978 s; 146,760,930 insertions/min; 0.16 load factor
1477348077978 s; 146,339,346 insertions/min; 0.16 load factor
1477348137978 s; 146,004,018 insertions/min; 0.16 load factor
1477348197978 s; 142,726,516 insertions/min; 0.16 load factor
1477348257978 s; 140,086,102 insertions/min; 0.16 load factor
1477348317979 s; 140,066,270 insertions/min; 0.16 load factor
1477348437979 s; 559,233,532 insertions/min; 0.16 load factor
1477348497979 s; 140,386,755 insertions/min; 0.16 load factor
1477348617979 s; 561,376,054 insertions/min; 0.17 load factor
1477348737979 s; 564,497,956 insertions/min; 0.17 load factor
1477348857979 s; 564,634,846 insertions/min; 0.17 load factor
1477348977979 s; 565,319,488 insertions/min; 0.17 load factor
1477349097979 s; 563,709,260 insertions/min; 0.17 load factor
1477349217978 s; 563,554,637 insertions/min; 0.18 load factor
1477349277978 s; 140,725,800 insertions/min; 0.18 load factor
1477349337978 s; 140,884,348 insertions/min; 0.18 load factor
1477349397978 s; 140,917,999 insertions/min; 0.18 load factor
1477349457978 s; 144,098,999 insertions/min; 0.18 load factor
1477349517978 s; 145,601,047 insertions/min; 0.18 load factor
1477349577978 s; 145,766,497 insertions/min; 0.18 load factor
1477349637978 s; 145,911,430 insertions/min; 0.18 load factor
1477349697979 s; 146,709,456 insertions/min; 0.18 load factor
1477349817978 s; 583,091,652 insertions/min; 0.19 load factor
1477349877978 s; 145,717,642 insertions/min; 0.19 load factor
1477349937978 s; 145,590,792 insertions/min; 0.19 load factor
1477349997978 s; 145,357,198 insertions/min; 0.19 load factor
1477350057978 s; 145,375,153 insertions/min; 0.19 load factor
1477350117979 s; 146,184,096 insertions/min; 0.19 load factor
1477350237979 s; 561,825,322 insertions/min; 0.19 load factor
1477350357979 s; 552,379,818 insertions/min; 0.2 load factor
1477350477978 s; 555,794,500 insertions/min; 0.2 load factor
1477350537978 s; 139,462,579 insertions/min; 0.2 load factor
1477350597979 s; 139,994,115 insertions/min; 0.2 load factor
1477350717979 s; 559,016,796 insertions/min; 0.2 load factor
1477350837979 s; 558,872,338 insertions/min; 0.2 load factor
1477350897978 s; 138,713,760 insertions/min; 0.2 load factor
1477350957979 s; 137,885,034 insertions/min; 0.21 load factor
1477351017978 s; 138,194,580 insertions/min; 0.21 load factor
1477351077979 s; 138,418,145 insertions/min; 0.21 load factor
1477351137978 s; 137,857,699 insertions/min; 0.21 load factor
1477351197979 s; 137,770,095 insertions/min; 0.21 load factor
1477351317979 s; 549,933,018 insertions/min; 0.21 load factor
1477351437979 s; 549,319,842 insertions/min; 0.21 load factor
1477351557979 s; 550,675,416 insertions/min; 0.22 load factor
1477351677979 s; 555,408,954 insertions/min; 0.22 load factor
1477351797979 s; 550,963,304 insertions/min; 0.22 load factor
1477351917979 s; 550,010,642 insertions/min; 0.22 load factor
1477352037978 s; 547,763,633 insertions/min; 0.22 load factor
1477352097978 s; 136,838,517 insertions/min; 0.23 load factor
1477352157979 s; 137,140,326 insertions/min; 0.23 load factor
1477352277979 s; 548,351,344 insertions/min; 0.23 load factor
1477352337978 s; 136,904,950 insertions/min; 0.23 load factor
1477352397979 s; 136,644,489 insertions/min; 0.23 load factor
1477352517979 s; 546,198,750 insertions/min; 0.23 load factor
1477352637979 s; 544,752,912 insertions/min; 0.23 load factor
1477352757979 s; 546,460,560 insertions/min; 0.24 load factor
1477352877978 s; 552,063,731 insertions/min; 0.24 load factor
1477352937978 s; 140,833,068 insertions/min; 0.24 load factor
1477352997978 s; 141,252,687 insertions/min; 0.24 load factor
1477353057979 s; 140,719,036 insertions/min; 0.24 load factor
1477353177978 s; 566,711,027 insertions/min; 0.24 load factor
1477353237978 s; 141,739,346 insertions/min; 0.24 load factor
1477353297978 s; 141,550,282 insertions/min; 0.25 load factor
1477353357979 s; 140,226,001 insertions/min; 0.25 load factor
1477353477978 s; 544,845,275 insertions/min; 0.25 load factor
1477353537978 s; 137,305,306 insertions/min; 0.25 load factor
Total puts: 34359738368, total collisions: 0, total load factor: 0.25, duration: 14389918 ms.
1477353587900 s; 143,220,000 insertions/min; 0.25 load factor
Test finished at Mon Oct 24 23:59:47 UTC 2016
.Test started at Mon Oct 24 23:59:47 UTC 2016
Insertions: 34,359,738,368 (approx: 262,144 GiB)
Thread count: 1
Test finished at Mon Oct 24 23:59:47 UTC 2016
.Test started at Mon Oct 24 23:59:47 UTC 2016
Insertions: 34,359,738,368 (approx: 262,144 GiB)
Thread count: 1
Test finished at Mon Oct 24 23:59:47 UTC 2016
.Test started at Mon Oct 24 23:59:47 UTC 2016
Insertions: 34,359,738,368 (approx: 262,144 GiB)
Thread count: 1
Test finished at Mon Oct 24 23:59:47 UTC 2016

Time: 14,981.916

OK (4 tests)

Running test: FingerPrintGenerator
page_defrag = always madvise [never]
scaling_governor = powersave
kernel.numa_balancing = 1
