JUnit version 4.12
.Test started at Sun Oct 23 23:03:02 UTC 2016
Insertions: 34,359,738,368 (approx: 262,144 GiB)
Thread count: 1
Maximum FPSet table count is: 68,719,476,736 (approx: 524,288 GiB)
FPSet lock count is: 0
FPSet bucket count is: 68719476736
Testing tlc2.tool.fp.OffHeapDiskFPSet
1477271054761 s; 180,760,898 insertions/min; 0.37 load factor
1477271114761 s; 180,015,687 insertions/min; 0.38 load factor
1477271174761 s; 179,133,161 insertions/min; 0.38 load factor
1477271234761 s; 177,937,411 insertions/min; 0.38 load factor
1477271294761 s; 177,788,163 insertions/min; 0.38 load factor
1477271354761 s; 177,861,425 insertions/min; 0.39 load factor
1477271414761 s; 177,689,382 insertions/min; 0.39 load factor
1477271474761 s; 176,977,654 insertions/min; 0.39 load factor
1477271534761 s; 176,437,570 insertions/min; 0.39 load factor
1477271594762 s; 176,763,670 insertions/min; 0.4 load factor
1477271714761 s; 704,737,659 insertions/min; 0.4 load factor
1477271774761 s; 174,461,079 insertions/min; 0.4 load factor
1477271834761 s; 175,144,085 insertions/min; 0.41 load factor
1477271894761 s; 175,529,282 insertions/min; 0.41 load factor
1477271954761 s; 174,232,952 insertions/min; 0.41 load factor
1477272014761 s; 173,710,190 insertions/min; 0.41 load factor
1477272074761 s; 173,161,609 insertions/min; 0.42 load factor
1477272134761 s; 172,984,705 insertions/min; 0.42 load factor
1477272194761 s; 172,734,551 insertions/min; 0.42 load factor
1477272254761 s; 172,478,126 insertions/min; 0.42 load factor
1477272314761 s; 171,533,980 insertions/min; 0.43 load factor
1477272374761 s; 170,993,272 insertions/min; 0.43 load factor
1477272434761 s; 171,430,070 insertions/min; 0.43 load factor
1477272494761 s; 170,938,490 insertions/min; 0.43 load factor
1477272554762 s; 170,435,944 insertions/min; 0.44 load factor
1477272674762 s; 678,465,006 insertions/min; 0.44 load factor
1477272794761 s; 673,982,965 insertions/min; 0.45 load factor
1477272854761 s; 171,363,333 insertions/min; 0.45 load factor
1477272914761 s; 195,278,475 insertions/min; 0.45 load factor
1477272974762 s; 195,873,166 insertions/min; 0.46 load factor
1477273094761 s; 752,195,651 insertions/min; 0.46 load factor
1477273154762 s; 169,059,616 insertions/min; 0.46 load factor
1477273274761 s; 669,506,220 insertions/min; 0.47 load factor
1477273334761 s; 167,408,074 insertions/min; 0.47 load factor
1477273394761 s; 166,379,830 insertions/min; 0.47 load factor
1477273454761 s; 165,998,699 insertions/min; 0.48 load factor
1477273514761 s; 165,887,351 insertions/min; 0.48 load factor
1477273574761 s; 165,813,676 insertions/min; 0.48 load factor
1477273634761 s; 166,489,313 insertions/min; 0.48 load factor
1477273694762 s; 164,396,679 insertions/min; 0.48 load factor
1477273814761 s; 655,030,731 insertions/min; 0.49 load factor
1477273874761 s; 163,460,668 insertions/min; 0.49 load factor
1477273934761 s; 163,415,710 insertions/min; 0.49 load factor
1477273994762 s; 162,962,070 insertions/min; 0.5 load factor
Total puts: 34359738368, total collisions: 0, total load factor: 0.5, duration: 10103192 ms.
1477274077958 s; 204,000,000 insertions/min; 0.5 load factor
Test finished at Mon Oct 24 01:54:37 UTC 2016
.Test started at Mon Oct 24 01:54:37 UTC 2016
Insertions: 34,359,738,368 (approx: 262,144 GiB)
Thread count: 1
Test finished at Mon Oct 24 01:54:37 UTC 2016
.Test started at Mon Oct 24 01:54:37 UTC 2016
Insertions: 34,359,738,368 (approx: 262,144 GiB)
Thread count: 1
Test finished at Mon Oct 24 01:54:37 UTC 2016
.Test started at Mon Oct 24 01:54:37 UTC 2016
Insertions: 34,359,738,368 (approx: 262,144 GiB)
Thread count: 1
Test finished at Mon Oct 24 01:54:37 UTC 2016

Time: 10,295.733

OK (4 tests)

Running test: FingerPrintGenerator
page_defrag = always madvise [never]
scaling_governor = powersave
kernel.numa_balancing = 1
