JUnit version 4.12
.Test started at Tue Oct 25 03:22:30 UTC 2016
Insertions: 34,359,738,368 (approx: 262,144 GiB)
Thread count: 1
Maximum FPSet table count is: 137,438,953,472 (approx: 1,048,576 GiB)
FPSet lock count is: 0
FPSet bucket count is: 137438953472
Testing tlc2.tool.fp.OffHeapDiskFPSet
1477373621060 s; 679,593,960 insertions/min; 0.15 load factor
1477373681060 s; 169,393,478 insertions/min; 0.15 load factor
1477373741060 s; 170,363,129 insertions/min; 0.15 load factor
1477373801060 s; 170,532,180 insertions/min; 0.15 load factor
1477373861061 s; 171,068,027 insertions/min; 0.16 load factor
1477373981060 s; 684,852,110 insertions/min; 0.16 load factor
1477374041060 s; 170,637,475 insertions/min; 0.16 load factor
1477374101061 s; 171,415,326 insertions/min; 0.16 load factor
1477374221060 s; 686,027,727 insertions/min; 0.16 load factor
1477374281060 s; 171,341,214 insertions/min; 0.16 load factor
1477374341060 s; 170,982,878 insertions/min; 0.17 load factor
1477374401060 s; 171,000,613 insertions/min; 0.17 load factor
1477374461060 s; 169,990,780 insertions/min; 0.17 load factor
1477374521060 s; 170,623,684 insertions/min; 0.17 load factor
1477374581060 s; 170,042,637 insertions/min; 0.17 load factor
1477374641060 s; 169,810,371 insertions/min; 0.17 load factor
1477374701060 s; 169,290,991 insertions/min; 0.17 load factor
1477374761060 s; 168,903,286 insertions/min; 0.17 load factor
1477374821060 s; 168,505,154 insertions/min; 0.17 load factor
1477374881060 s; 168,524,066 insertions/min; 0.18 load factor
1477374941060 s; 169,823,846 insertions/min; 0.18 load factor
1477375001060 s; 170,913,406 insertions/min; 0.18 load factor
1477375061060 s; 170,776,140 insertions/min; 0.18 load factor
1477375121061 s; 171,399,571 insertions/min; 0.18 load factor
1477375241060 s; 687,573,014 insertions/min; 0.18 load factor
1477375301060 s; 171,674,703 insertions/min; 0.18 load factor
1477375361060 s; 171,080,569 insertions/min; 0.19 load factor
1477375421060 s; 170,479,830 insertions/min; 0.19 load factor
