JUnit version 4.12
.Test started at Thu Oct 20 08:10:21 UTC 2016
Insertions: 34,359,738,368 (approx: 262,144 GiB)
Thread count: 1
Maximum FPSet table count is: 68,719,476,736 (approx: 524,288 GiB)
FPSet lock count is: 0
FPSet bucket count is: 68719476736
Testing tlc2.tool.fp.OffHeapDiskFPSet
1476958788945 s; 162,766,589 insertions/min; 0.4 load factor
1476958848946 s; 167,998,172 insertions/min; 0.4 load factor
1476958968945 s; 625,034,935 insertions/min; 0.4 load factor
1476959028945 s; 164,031,197 insertions/min; 0.4 load factor
1476959088945 s; 170,430,020 insertions/min; 0.41 load factor
1476959148945 s; 156,222,929 insertions/min; 0.41 load factor
1476959208945 s; 159,278,556 insertions/min; 0.41 load factor
1476959268946 s; 164,115,450 insertions/min; 0.41 load factor
1476959388945 s; 632,029,325 insertions/min; 0.42 load factor
1476959448945 s; 157,010,566 insertions/min; 0.42 load factor
1476959508945 s; 163,995,240 insertions/min; 0.42 load factor
1476959568945 s; 162,046,772 insertions/min; 0.43 load factor
1476959628945 s; 152,945,182 insertions/min; 0.43 load factor
1476959688946 s; 165,503,854 insertions/min; 0.43 load factor
1476959808945 s; 628,293,824 insertions/min; 0.43 load factor
1476959868945 s; 154,768,496 insertions/min; 0.44 load factor
1476959928946 s; 164,080,754 insertions/min; 0.44 load factor
1476959988945 s; 164,803,626 insertions/min; 0.44 load factor
1476960048946 s; 151,869,360 insertions/min; 0.44 load factor
1476960168946 s; 635,511,144 insertions/min; 0.45 load factor
1476960288945 s; 619,678,357 insertions/min; 0.45 load factor
1476960348945 s; 162,655,716 insertions/min; 0.46 load factor
1476960408946 s; 160,823,584 insertions/min; 0.46 load factor
1476960468945 s; 155,683,328 insertions/min; 0.46 load factor
1476960528945 s; 154,638,136 insertions/min; 0.46 load factor
1476960588945 s; 160,938,729 insertions/min; 0.46 load factor
1476960648945 s; 162,713,040 insertions/min; 0.47 load factor
1476960708946 s; 150,086,384 insertions/min; 0.47 load factor
1476960828946 s; 631,140,612 insertions/min; 0.47 load factor
1476960888945 s; 164,178,307 insertions/min; 0.48 load factor
1476960948946 s; 146,863,004 insertions/min; 0.48 load factor
1476961008945 s; 158,137,008 insertions/min; 0.48 load factor
1476961068945 s; 164,342,583 insertions/min; 0.48 load factor
1476961128945 s; 156,869,388 insertions/min; 0.49 load factor
1476961188945 s; 147,642,236 insertions/min; 0.49 load factor
1476961248946 s; 160,250,232 insertions/min; 0.49 load factor
1476961368945 s; 616,846,405 insertions/min; 0.49 load factor
1476961428945 s; 152,913,401 insertions/min; 0.5 load factor
1476961488945 s; 160,429,424 insertions/min; 0.5 load factor
Producer: 0, puts: 34359738368, puts/collisions: none
Total puts: 34359738368, total collisions: 0, total load factor: 0.5, duration: 10223705 ms, reprobe: 80.
1476961512655 s; Total 201,600,000 insertions/min; 0.5 load factor
page_defrag = [always] madvise never
scaling_governor = powersave
kernel.numa_balancing = 1
Running test: FingerPrintGenerator
